ip,date,Sent,sicmp,sudp,stcp,sftp,shttp,ssmtp,Received,ricmp,rudp,rtcp,rftp,rhttp,rsmtp
63,1525043636,463,0,463,0,0,0,0,0,0,0,0,0,0,0
58,1525043636,4183,0,229,3954,0,3954,0,17209,0,0,17209,0,17209,0
79,1525043636,250,0,250,0,0,0,0,0,0,0,0,0,0,0
70,1525043636,229,0,229,0,0,0,0,0,0,0,0,0,0,0
250,1525044237,39912,31696,836,7380,0,7380,0,51129,31696,684,18749,0,18749,0
0.0.0.0,1525044237,476385,63992,73190,339203,0,331053,0,594099,64188,101123,428788,0,421656,0
1,1525044237,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
65,1525044237,37438,0,29502,7936,0,7936,0,9932,0,0,9932,0,9932,0
255,1525044237,0,0,0,0,0,0,0,40058,0,40058,0,0,0,0
55,1525044237,12012,0,229,11783,0,11783,0,23178,0,0,23178,0,23178,0
200,1525044237,24426,0,24426,0,0,0,0,57493,0,57493,0,0,0,0
50,1525044237,130074,0,0,130074,0,126204,0,105349,0,0,105349,0,98649,0
166,1525044237,53981,0,0,53981,0,53513,0,80970,400,0,80570,0,80138,0
77,1525044237,16899,0,6909,9990,0,6646,0,9337,0,0,9337,0,9337,0
251,1525044237,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
51,1525044237,2501,0,229,2272,0,2272,0,4547,0,0,4547,0,4547,0
59,1525044237,1895,0,229,1666,0,1666,0,4316,0,0,4316,0,4316,0
69,1525044237,4667,0,0,4667,0,4667,0,8916,0,0,8916,0,8916,0
62,1525044237,994,0,229,765,0,765,0,7158,0,0,7158,0,7158,0
52,1525044237,229,0,229,0,0,0,0,0,0,0,0,0,0,0
190,1525044237,6221,0,229,5992,0,5992,0,9329,0,0,9329,0,9329,0
54,1525044237,229,0,229,0,0,0,0,0,0,0,0,0,0,0
53,1525044237,229,0,229,0,0,0,0,0,0,0,0,0,0,0
58,1525044237,229,0,229,0,0,0,0,0,0,0,0,0,0,0
63,1525044237,66701,0,1030,65671,0,65671,0,44244,0,0,44244,0,44244,0
79,1525044237,250,0,250,0,0,0,0,0,0,0,0,0,0,0
250,1525044237,39912,31696,836,7380,0,7380,0,51129,31696,684,18749,0,18749,0
0.0.0.0,1525044237,476385,63992,73190,339203,0,331053,0,594099,64188,101123,428788,0,421656,0
1,1525044237,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
65,1525044237,37438,0,29502,7936,0,7936,0,9932,0,0,9932,0,9932,0
255,1525044237,0,0,0,0,0,0,0,40058,0,40058,0,0,0,0
55,1525044237,12012,0,229,11783,0,11783,0,23178,0,0,23178,0,23178,0
200,1525044237,24426,0,24426,0,0,0,0,57493,0,57493,0,0,0,0
